,Date,Microsoft Open,Close Microsoft,Apple Open,Apple Close,Amazon Open,Amazon Close,IBM Open,IBM Close,Nike Open,Nike Close
0,3/27/2018,94.94,89.47,173.68,168.34,1572.4,1497.05,153.95,151.91,65.89,66.17
1,3/26/2018,90.61,93.78,168.07,172.77,1530.0,1555.86,151.21,153.37,65.08,65.9
2,3/23/2018,89.5,87.18,168.39,164.94,1539.01,1495.56,152.25,148.89,66.7,64.63
3,3/22/2018,91.265,89.79,170.0,168.845,1565.47,1544.1,155.0,152.09,65.6,64.42
4,3/21/2018,92.93,92.48,175.04,171.27,1586.45,1581.86,156.57,156.69,66.73,66.35
5,3/20/2018,93.05,93.13,175.24,175.24,1550.34,1586.51,157.52,156.2,65.94,66.8
6,3/19/2018,93.74,92.89,177.32,175.3,1554.53,1544.93,159.71,157.35,65.7,65.71
7,3/16/2018,94.68,94.6,178.65,178.02,1583.45,1571.68,160.06,160.26,66.31,65.91
8,3/15/2018,93.53,94.18,178.5,178.65,1595.0,1582.32,158.71,159.61,66.49,66.39
9,3/14/2018,95.12,93.85,180.32,178.44,1597.0,1591.0,160.17,158.12,66.65,66.2
10,3/13/2018,97.0,94.41,182.59,179.97,1615.96,1588.18,160.09,159.32,67.3,66.17
11,3/12/2018,96.5,96.77,180.29,181.72,1592.6,1598.39,159.64,160.26,66.65,66.82
12,3/9/2018,95.29,96.54,177.96,179.98,1563.5,1578.89,157.47,159.31,65.51,66.3
13,3/8/2018,94.27,94.43,175.48,176.94,1550.0,1551.86,159.0,156.21,64.56,65.11
14,3/7/2018,93.16,93.86,174.94,175.03,1526.52,1545.0,155.0,158.32,64.51,64.17
15,3/6/2018,94.34,93.32,177.91,176.67,1533.2,1537.64,157.28,155.72,65.21,65.24
16,3/5/2018,92.34,93.64,175.21,176.82,1494.24,1523.61,154.12,156.95,65.48,65.05
17,3/2/2018,91.58,93.05,172.8,176.21,1469.1,1500.25,152.79,154.49,64.91,65.89
18,3/1/2018,93.99,92.85,178.54,175.0,1513.6,1493.45,155.53,153.81,67.24,66.32
19,2/28/2018,94.84,93.77,179.26,178.12,1519.51,1512.45,157.5,155.83,68.1,67.03
20,2/27/2018,95.74,94.2,179.1,178.39,1524.5,1511.98,158.46,156.55,70.0,68.03
21,2/26/2018,94.4,95.42,176.35,178.97,1509.2,1521.95,155.81,158.58,68.39,69.65
22,2/23/2018,92.75,94.06,173.67,175.555,1495.34,1500.0,154.3,155.52,67.39,68.16
23,2/22/2018,92.05,91.74,171.8,172.6,1495.36,1484.76,154.5,153.18,67.25,67.13
24,2/21/2018,92.98,91.49,172.83,171.07,1485.0,1482.92,155.43,153.96,67.66,67.05
